date_ny,symbol,dividend,div_event_flag,div_amount,div_negative_flag,split_ratio,split_flag,split_mult,split_nonpos_flag,shares_out,shares_out_nonpos_flag,shares_out_ffill,log_shares_out,shares_out_roll_mean_252,shares_out_roll_std_252,shares_out_roll_z_252,earnings_flag,eps_estimate,eps_actual,eps_surp_pct,eps_surp_pct_calc,eps_surp_pct_final,eps_surp_winsor,eps_surp_rz_8,dividend_iqr_outlier,div_amount_iqr_outlier,split_ratio_iqr_outlier,split_mult_iqr_outlier,shares_out_iqr_outlier,log_shares_out_iqr_outlier,eps_estimate_iqr_outlier,eps_actual_iqr_outlier,eps_surp_pct_final_iqr_outlier,eps_surp_winsor_iqr_outlier,div_amount_rz_8,eps_estimate_rz_8,eps_actual_rz_8,5d_before_earnings_flag,year,month,day
2024/4/30,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.54249960198268,0.0046093829858951,-0.972619073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,4,30
2024/5/1,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.54245755913941,0.0046017582823063,-0.96509436,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,1
2024/5/2,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.54239089725176,0.0045435673646833,-0.962782925,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,2
2024/5/3,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.54234885440849,0.0045348243255504,-0.955368042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,3
2024/5/6,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.542253150333003,0.0045361303124225,-0.933994808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,6
2024/5/7,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.542226319716896,0.0045411117368777,-0.927061871,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,7
2024/5/8,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.542199489100778,0.0045459293481549,-0.920177285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5,2024,5,8
2024/5/9,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.542172658484667,0.0045505836665314,-0.913340049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,2024,5,9
2024/5/10,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.54214582786856,0.0045550751925591,-0.906549183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,2024,5,10
2024/5/14,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.542038505404115,0.0045714227091471,-0.879830522,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,2024,5,14
2024/5/15,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.542011674788,0.0045751071102064,-0.873257504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,2024,5,15
2024/5/16,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.54198484417189,0.0045786313227967,-0.866725385,1,1.99,2.09,5.27,5.025125628140696,5.27,5.27,-1.821125051,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,16
2024/5/17,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.54195801355577,0.0045819957165417,-0.860233319,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,17
2024/5/20,AMAT,0.0,0,0.0,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.54187752170744,0.0045911334147256,-0.840989182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,20
2024/5/21,AMAT,0.0,0,0.0,0,0,1,0,1,831464000,0,831464000,20.53869856161314,20.54185069109133,0.0045938618756373,-0.686161135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,21
2024/5/22,AMAT,0.4,1,0.4,0,0,1,0,1,830897024,0,830897024,20.538016428173872,20.541826567353944,0.0045943894784221,-0.829302609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,22
