date_ny,symbol,dividend,div_event_flag,div_amount,div_negative_flag,split_ratio,split_flag,split_mult,split_nonpos_flag,shares_out,shares_out_nonpos_flag,shares_out_ffill,log_shares_out,shares_out_roll_mean_252,shares_out_roll_std_252,shares_out_roll_z_252,earnings_flag,eps_estimate,eps_actual,eps_surp_pct,eps_surp_pct_calc,eps_surp_pct_final,eps_surp_winsor,eps_surp_rz_8,dividend_iqr_outlier,div_amount_iqr_outlier,split_ratio_iqr_outlier,split_mult_iqr_outlier,shares_out_iqr_outlier,log_shares_out_iqr_outlier,eps_estimate_iqr_outlier,eps_actual_iqr_outlier,eps_surp_pct_final_iqr_outlier,eps_surp_winsor_iqr_outlier,div_amount_rz_8,eps_estimate_rz_8,eps_actual_rz_8,5d_before_earnings_flag,year,month,day
2024/4/30,AMD,0,0,0,0,0,1,0,1,1616140032,0,1616140032,21.203306447375223,21.203785561262897,0.0053352023875698,-0.089802383,1,0.61,0.62,2.04,1.6393442622950836,2.04,2.04,-0.104920785,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,4,30
2024/5/1,AMD,0,0,0,0,0,1,0,1,1635020032,0,1635020032,21.214920893819954,21.203786715503306,0.0053350671435863,2.086979979256199,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0,2024,5,1
2024/5/2,AMD,0,0,0,0,0,1,0,1,1635020032,0,1635020032,21.214920893819954,21.203738948971644,0.0051789964233555,2.159094916127652,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0,2024,5,2
2024/5/3,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20378619228524,0.0052262672860628,-0.07167093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,3
2024/5/6,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20379090707162,0.0052257485792812,-0.072580266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,6
2024/5/7,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20379247866708,0.0052255747202619,-0.072883432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,7
2024/5/8,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.203794050262537,0.0052254003827837,-0.073186624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,8
2024/5/9,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.203795621858,0.0052252255667988,-0.073489843,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,9
2024/5/10,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.203797193453457,0.0052250502722591,-0.07379309,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,10
2024/5/14,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20384024949664,0.005232320045966,-0.081919425,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,14
2024/5/15,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.2038418210921,0.0052321315841573,-0.082222749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,15
2024/5/16,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.203843392687563,0.0052319426434767,-0.082526103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,16
2024/5/17,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20384496428302,0.0052317532238724,-0.082829487,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,17
2024/5/20,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.2038496790694,0.0052311820909962,-0.083739815,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,20
2024/5/21,AMD,0,0,0,0,0,1,0,1,1632710016,0,1632710016,21.213507058313684,21.20385125066485,0.0052309907551754,1.8458850532804305,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,21
2024/5/22,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.2038928835201,0.0052658084300613,-0.091393881,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,22
2024/5/23,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20389408667773,0.0052656636915547,-0.091624885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,23
2024/5/24,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20389528983536,0.0052655186741511,-0.091855906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,24
2024/5/29,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20390314781266,0.0052644953937406,-0.093366396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,29
2024/5/30,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20390471940812,0.0052642893062425,-0.09366859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,30
2024/5/31,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.203906291003573,0.0052640827414752,-0.093970817,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,5,31
2024/6/3,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20391100578995,0.005263460182996,-0.09487769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,3
2024/6/4,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.203912577385413,0.0052632517085889,-0.095180045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,4
2024/6/5,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20391414898087,0.0052630427566304,-0.095482434,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,5
2024/6/6,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20391572057633,0.0052628333270635,-0.095784855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,6
2024/6/7,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20391729217179,0.0052626234198312,-0.096087309,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,7
2024/6/10,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20392200695817,0.00526199083157,-0.096994869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,10
2024/6/11,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20392357855363,0.0052617790131034,-0.097297455,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,11
2024/6/13,AMD,0,0,0,0,0,1,0,1,1630550016,0,1630550016,21.212183228589453,21.20396152971177,0.0052867850642568,1.5551415042894774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,13
2024/6/14,AMD,0,0,0,0,0,1,0,1,1630550016,0,1630550016,21.212183228589453,21.20399790927445,0.0053116345292214,1.5410170390996507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,14
2024/6/17,AMD,0,0,0,0,0,1,0,1,1618540032,0,1618540032,21.20479036565551,21.20404837444716,0.0053357550290115,0.1390602087832486,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,17
2024/6/18,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.204055417252164,0.0053355584571358,-0.120661484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,18
2024/6/20,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.204058560443084,0.0053350615914022,-0.121261879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,20
2024/6/21,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.204060132038546,0.0053348124467116,-0.121562135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,21
2024/6/24,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20406484682492,0.0053340621645463,-0.122463135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,24
2024/6/25,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20406641842037,0.0053338111209041,-0.122763547,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,25
2024/6/26,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20406799001584,0.0053335596023567,-0.123063998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,26
2024/6/28,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20407113320676,0.0053330551402775,-0.123665018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,6,28
2024/7/1,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20407584799313,0.0053322948836856,-0.124566844,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,7,1
2024/7/2,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.2040774195886,0.0053320405142912,-0.124867532,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,7,2
2024/7/3,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.20407899118405,0.0053317856695185,-0.12516826,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,7,3
2024/7/5,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.204082134374968,0.0053312745535648,-0.125769836,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,7,5
2024/7/8,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.204086849161342,0.0053305043125871,-0.126672501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,7,8
2024/7/9,AMD,0,0,0,0,0,1,0,1,1616310016,0,1616310016,21.20341162084892,21.204088420756808,0.0053302466141073,-0.12697347,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,7,9
2024/7/10,AMD,0,0,0,0,0,1,0,1,1630829952,0,1630829952,21.21235489579981,21.20408999235227,0.0053299884397688,1.5506419086907943,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2024,7,10
